序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
47,600085,同仁堂,1.04,15372423363.17,5.2682141766,31.7946,1425811705.31,16.17,63.0518,8.60921003959,12.71,2.256189120541,48.803569539,中药,2023-03-28
48,600066,宇通客车,0.34,21798960604.67,-6.1742950931,78.921,759142726.07,23.68,220.4578,6.537047563112,5.15,1.46959987417,22.8260333566,汽车整车,2023-03-28
49,600062,华润双鹤,1.1235,9446925267.13,3.6811470465,1.8406,1163649615.44,24.36,-23.5818,9.607985178789,11.71,1.286166040459,55.204314322,化学制药,2023-03-28
50,600016,民生银行,0.71,142476000000.0,-15.596786806,-1.503,35269000000.0,2.58,-83.6871,11.533643963273,6.31,3.79774793294,,银行,2023-03-28
51,301387,光大同创,1.99,995704032.83,0.0341923783,,113711700.86,-11.96,,10.038108411579,21.86,2.37742123386,28.8897201041,,2023-03-28
52,301357,北方长龙,1.57,250222638.95,-12.95199914,,80020515.55,-26.32,,7.705758516667,22.71,1.004594058235,57.0672264905,,2023-03-28
53,301106,骏成科技,1.2776,632654725.79,12.0230867002,-3.4401,90767726.53,15.53,-29.8585,15.547655065804,8.74,0.883395852941,23.0670225592,光学光电子,2023-03-28
54,301039,中集车辆,0.55,23620612415.36,-14.5659168111,0.0572,1117958345.49,24.11,54.9713,6.294499771213,9.18,0.57192085449,13.2816068052,汽车整车,2023-03-28
55,300885,海昌新材,0.2281,220066312.42,-30.0754373451,-12.7267,57201296.46,-32.21,-31.0536,3.146714765869,7.52,0.372815925877,33.5324160879,通用设备,2023-03-28
56,300876,蒙泰高新,0.5169,394386363.74,-0.594837548,-2.4083,49618834.68,-28.28,-22.5013,8.636934553125,6.1,0.454419233958,21.5008280981,化纤行业,2023-03-28
57,300857,协创数据,0.63,3148338575.12,6.366628458,10.839,130907097.23,3.67,-66.2323,6.90028452058,9.51,0.501571855666,11.200112316,消费电子,2023-03-28
58,300699,光威复材,1.8,2511109454.94,-3.6895664111,-8.7896,934254136.12,23.19,-24.8225,9.414486444101,21.27,0.284041727192,49.0777284003,化学制品,2023-03-28
59,300602,飞荣达,0.19,4124510911.4,34.875710025,23.3924,96187096.04,219.62,150.4938,5.027053951016,3.85,0.023015076439,17.3151033517,消费电子,2023-03-28
60,300586,美联新材,0.6046,2398506518.56,27.5281177979,18.0155,317097167.66,401.08,16.2208,3.000838657352,22.03,1.197959904479,33.6630716653,塑料制品,2023-03-28
61,300553,集智股份,0.33,236912110.45,5.011755376,76.5483,18558312.19,-25.01,-45.0298,10.895852396154,3.41,0.261594243429,42.5549185723,仪器仪表,2023-03-28
62,300446,乐凯新材,0.0247,169798216.13,10.9108881588,38.193,5013521.35,0.53,173.5903,3.222817470141,0.77,0.039552234528,38.7526362466,电子化学品,2023-03-28
63,300445,康斯特,0.36,413990997.22,17.1591377745,0.6005,75459339.34,7.72,-57.5972,4.678110650212,7.84,0.468824765265,63.4868874843,仪器仪表,2023-03-28
64,300401,花园生物,0.7,1417511816.01,26.8921270831,22.1559,383722581.79,-20.68,-47.258,4.668130044884,15.89,0.684273303624,66.0494994987,化学制药,2023-03-28
65,300374,中铁装配,-1.06,634798334.08,50.284472035,178.5251,-260006599.36,27.98,-155.5007,3.788414966916,-24.48,0.191003170898,-0.6484314591,装修装饰,2023-03-28
66,300235,方直科技,0.14,107789571.81,-3.3181718846,-33.1493,23331575.35,2.02,-124.3129,4.068061012712,3.47,0.109615140973,73.398946662,软件开发,2023-03-28
67,300224,正海磁材,0.49,6319016812.75,87.523643798,-2.251,404110755.42,52.47,0.3951,3.98099140864,13.29,0.282260632861,14.3939064679,小金属,2023-03-28
68,300172,中电环保,0.11,1023380350.39,17.0400801689,-6.6276,76245667.17,-28.45,-181.053,2.6276296329,4.35,0.158849978543,24.3159979655,环保行业,2023-03-28
69,300138,晨光生物,0.8147,6295872780.53,29.182931569,-4.4311,434033194.2,23.48,0.9424,5.940262338125,14.6,1.379210357455,13.9412895188,农牧饲渔,2023-03-28
70,300037,新宙邦,2.37,9660713467.18,38.9776347569,-0.2442,1758398655.27,34.57,-27.882,10.847191974934,23.54,2.426834342601,32.0411326432,电池,2023-03-28
71,300009,安科生物,0.43,2331062727.29,7.4834067386,-0.2514,703323479.92,240.38,-56.3605,1.917590056757,23.82,0.417734519007,78.4057723545,生物制品,2023-03-28
72,200016,深康佳B,-0.6111,29607854255.27,-39.7068697353,-34.9158,-1471409748.21,-262.52,-4216.6778,3.172995407872,-17.58,-0.219399924963,2.7668869697,家电行业,2023-03-28
73,003018,金富科技,0.4,738068573.03,11.9323142236,-48.9004,104536221.66,-13.84,-61.0537,5.378113300038,7.72,0.657741231615,23.8883166541,塑料制品,2023-03-28
74,002968,新大正,0.82,2598105988.07,24.4146374026,3.1002,185662462.63,11.8,-31.1953,4.874533391769,18.05,0.391451406688,16.1760369762,房地产服务,2023-03-28
75,002876,三利谱,1.19,2173523032.26,-5.6615147963,-10.2333,206421289.3,-38.84,-61.2967,13.375737088306,9.25,2.324785304054,21.4212458262,光学光电子,2023-03-28
76,002873,新天药业,0.5007,1087673294.88,12.1492492951,-36.6286,116101897.84,15.4,-76.3611,4.780074758421,12.05,0.3268455079,77.2646291479,中药,2023-03-28
77,002839,张家港行,0.73,4827371857.78,4.5703564966,-12.4699,1682023495.03,29.0,-18.3544,6.043416995946,12.21,3.51812535228,,银行,2023-03-28
78,002807,江阴银行,0.744,3779907000.0,12.2730202483,-12.346,1616057000.0,26.88,104.3532,6.406622588512,11.87,0.180290886356,,银行,2023-03-28
79,002765,蓝黛科技,0.32,2873480982.61,-8.4730010445,12.0434,185582311.74,-11.65,-26.0865,3.804198354214,8.73,0.814940329232,17.6694115438,光学光电子,2023-03-28
80,002611,东方精工,0.37,3892708509.64,10.4397564145,63.2854,447177897.38,-4.31,1039.6788,3.274470512947,11.72,0.407937998668,27.2150549798,专用设备,2023-03-28
81,002451,摩恩电气,0.03,1078487200.37,-5.5859923334,-1.8603,14666901.21,14.15,-27.1416,1.701530478871,1.95,-0.112254967509,12.6050709896,电网设备,2023-03-28
82,002398,垒知集团,0.3,3946674021.22,-19.7463678097,-15.5558,210829739.32,-22.46,-98.0333,4.95304795722,5.95,0.586106541095,21.5871499845,装修建材,2023-03-28
83,002192,融捷股份,9.3968,2992396280.89,225.0493255393,88.4296,2439939326.64,3472.94,74.6462,11.902371484041,130.74,4.870926873666,52.0642848118,能源金属,2023-03-28
84,002185,华天科技,0.2353,11905960519.12,-1.577548728,-4.3634,753945434.18,-46.74,-73.9344,4.927188270671,4.89,0.897855583966,16.8412638433,半导体,2023-03-28
85,002155,湖南黄金,0.36,21040831859.08,6.0214421018,-5.1598,437357113.95,20.38,4.0424,4.855957803462,7.77,1.028350744287,7.6187637076,贵金属,2023-03-28
86,002151,北斗星通,0.29,3816077696.79,-0.8982639645,42.9974,145215509.23,-28.31,4.493,8.455113893274,3.32,-0.465500077628,30.226285225,通信设备,2023-03-28
87,002136,安纳达,1.2474,2714264692.46,32.5994632267,14.2536,268210048.74,44.76,-8.6415,5.385334679193,26.0,1.505914148916,21.3281519414,化学原料,2023-03-28
88,002119,康强电子,0.27,1702791487.4,-22.4105009566,5.014,101975839.33,-43.73,-70.7523,3.266714388516,8.63,0.792471027275,15.7472095647,半导体,2023-03-28
89,002012,凯恩股份,0.11,1391801132.27,-23.9333254802,-0.0744,53426749.58,-43.19,-164.1174,3.193641160051,3.63,0.466872427436,21.5140869121,造纸印刷,2023-03-28
90,000933,神火股份,3.39,42703853286.57,23.8047037846,0.7861,7571202799.16,133.9,30.1436,7.127537516222,57.52,6.246489474212,31.2983126392,有色金属,2023-03-28
91,000910,大亚圣象,0.77,7362968357.85,-15.8568259023,6.5301,420307928.78,-29.38,-26.7649,11.803881284843,6.7,1.18868064624,24.1356756315,装修建材,2023-03-28
92,000728,国元证券,0.4,5341049974.59,-12.58,4.1289,1732821991.13,-9.24,39.3563,7.548922750709,5.32,0.878254389263,,证券,2023-03-28
93,000707,双环科技,1.881,4364301792.84,42.4491975339,7.1806,873043627.34,106.58,-48.3254,3.159043993044,84.92,2.21286640769,28.4156846814,化学原料,2023-03-28
94,000636,风华高科,0.31,3873931995.77,-23.3652606508,19.2685,327037938.38,-65.32,125.7316,10.257775922871,3.17,0.445294177553,17.968378542,电子元件,2023-03-28
95,000629,钒钛股份,0.1565,15087546372.12,7.3062060081,17.8754,1344212828.3,1.24,-24.2049,1.0223342695,16.47,0.227829663123,16.297405315,钢铁行业,2023-03-28
96,000590,启迪药业,0.0758,350528110.13,16.5417875244,-111.0084,18145855.14,-48.8,-40.9709,2.916710755032,2.63,0.22747483576,51.123316365,中药,2023-03-28
97,000559,万向钱潮,0.24,14014955322.22,-2.1447919279,-22.4486,809095215.7,17.86,13.8386,2.632353038933,9.48,0.347692773497,13.2433591386,汽车零部件,2023-03-28
98,000016,深康佳A,-0.6111,29607854255.27,-39.7068697353,-34.9158,-1471409748.21,-262.52,-4216.6778,3.172995407872,-17.58,-0.219399924963,2.7668869697,家电行业,2023-03-28
99,873848,晨光科技,0.5717,3522250651.07,50.2729278703,,83817062.74,55.18,,3.258501794466,19.01,2.185796125596,4.4958273166,,2023-03-27
100,873710,博生医材,0.18,302583735.33,2.6509117152,,36686618.58,-6.14,,1.777628755457,10.45,0.002297788759,24.0166843703,,2023-03-27
101,873655,奥文科技,0.92,497435237.2,-14.3727617426,-17.2079,44006967.24,41.21,-7.0101,3.06217729375,33.29,1.472607417708,17.0949066292,,2023-03-27
102,873588,华夏电通,0.42,188636321.82,-18.4779418755,,23304965.86,-36.11,,5.034033073066,8.85,0.702783502383,59.3119869496,,2023-03-27
103,873225,海贤能源,0.04,989185314.17,8.7554793461,,14501879.98,-41.96,,1.8263583857,2.24,0.11142892705,8.9504490859,,2023-03-27
104,873140,易通城建,0.04,666980109.33,39.4878650432,,5829123.0,-40.42,,1.742110342246,2.31,0.300264438931,7.5163793386,,2023-03-27
