代码,名称,总市值,上市时间
605588,冠石科技,2475882131.0,2021-08-12
688571,杭华股份,2592000000.0,2020-12-11
688056,莱伯泰科,3082116576.0,2020-09-02
603755,日辰股份,3988923396.0,2019-08-28
688229,博睿数据,2839824000.0,2020-08-17
605500,森林包装,3134640000.0,2020-12-22
605003,众望布艺,2164800000.0,2020-09-08
603982,泉峰汽车,4849324814.0,2019-05-22
688314,康拓医疗,3097533572.0,2021-05-18
605208,永茂泰,3692790000.0,2021-03-08
688529,豪森股份,3054080000.0,2020-11-09
688659,元琛科技,2196800000.0,2021-03-31
603216,梦天家居,3290081600.0,2021-12-15
603506,南都物业,2356611126.0,2018-02-01
688370,丛麟科技,4001704000.0,2022-08-25
605258,协和电子,2323200000.0,2020-12-03
605158,华达新材,3559483200.0,2020-08-05
603356,华菱精工,1854759400.0,2018-01-24
688312,燕麦科技,2678249431.0,2020-06-08
605100,华丰股份,2469111960.0,2020-08-11
688130,晶华微,3181568000.0,2022-07-29
688633,星球石墨,3601040366.0,2021-03-24
603810,丰山集团,2597060448.0,2018-09-17
688282,理工导航,4306720000.0,2022-03-18
603261,立航科技,2933312743.0,2022-03-15
688419,耐科装备,3205380000.0,2022-11-07
603706,东方环宇,2774456760.0,2018-07-09
605218,伟时电子,3639452166.0,2020-09-28
688325,赛微微电,3926475461.0,2022-04-22
688511,天微电子,2953600000.0,2021-07-30
688195,腾景科技,3835227500.0,2021-03-26
688569,铁科轨道,4952774117.0,2020-08-31
688287,观典防务,4301068590.0,2022-05-25
605122,四方新材,2680104700.0,2021-03-10
605068,明新旭腾,4296664162.0,2020-11-23
688683,莱尔科技,3589081777.0,2021-04-12
603790,雅运股份,2212121600.0,2018-09-12
605151,西上海,2675671800.0,2020-12-15
688619,罗普特,3499588109.0,2021-02-23
605180,华生科技,2098200000.0,2021-04-30
605179,一鸣食品,4719770000.0,2020-12-28
603220,中贝通信,4466974689.0,2018-11-15
688689,银河微电,3723778341.0,2021-01-27
605188,国光连锁,3865524000.0,2020-07-28
605055,迎丰股份,2714800000.0,2021-01-29
688286,敏芯股份,3170540227.0,2020-08-10
603551,奥普家居,4611516000.0,2020-01-15
605288,凯迪股份,2618419418.0,2020-06-01
605086,龙高股份,2800640000.0,2021-04-16
688528,秦川物联,1893360000.0,2020-07-01
603307,扬州金泉,3758700000.0,2023-02-16
688517,金冠电气,2640518170.0,2021-06-18
603052,可川科技,3329920000.0,2022-10-11
605255,天普股份,2005836800.0,2020-08-25
603815,交建股份,4846176760.0,2019-10-21
688291,金橙子,2981440968.0,2022-10-26
688600,皖仪科技,3587781937.0,2020-07-03
688193,仁度生物,2224000000.0,2022-03-30
688655,迅捷兴,1942158400.0,2021-05-11
603214,爱婴室,2520873832.0,2018-03-30
688071,华依科技,3940902273.0,2021-07-29
688118,普元信息,2575800000.0,2019-12-04
603215,比依股份,3064957200.0,2022-02-18
688210,统联精密,3161760000.0,2021-12-27
688565,力源科技,1382827320.0,2021-05-13
688722,同益中,4726987368.0,2021-10-19
603610,麒盛科技,4373568862.0,2019-10-29
688589,力合微,4221205660.0,2020-07-22
603182,嘉华股份,2777604000.0,2022-09-09
603697,有友食品,4117802580.0,2019-05-08
605162,新中港,3459896640.0,2021-07-07
688253,英诺特,3417847698.0,2022-07-28
605186,健麾信息,4392800000.0,2020-12-22
688113,联测科技,3183089000.0,2021-05-06
688156,路德环境,2817399680.0,2020-09-22
688679,通源环境,1715916465.0,2020-12-25
688092,爱科科技,1663922392.0,2021-03-19
603681,永冠新材,4262196123.0,2019-03-26
688510,航亚科技,4361498423.0,2020-12-16
688685,迈信林,2275368007.0,2021-05-13
603682,锦和商管,2688525000.0,2020-04-21
688203,海正生材,3638071321.0,2022-08-16
603190,亚通精工,3721200000.0,2023-02-17
605166,聚合顺,3654106403.0,2020-06-18
603192,汇得科技,2796906673.0,2018-08-28
688328,深科达,2062468000.0,2021-03-09
688448,磁谷科技,1861339932.0,2022-09-21
688077,大地熊,3728712480.0,2020-07-22
688609,九联科技,4395000000.0,2021-03-23
688121,卓然股份,4789013341.0,2021-09-06
688585,上纬新材,4056192000.0,2020-09-28
603516,淳中科技,3661158101.0,2018-02-02
688137,近岸蛋白,4901754414.0,2022-09-29
688045,必易微,4581397103.0,2022-05-26
688260,昀冢科技,2076000000.0,2021-04-06
605189,富春染织,2605825065.0,2021-05-28
688079,美迪凯,4643426674.0,2021-03-02
603121,华培动力,2430672074.0,2019-01-11
688622,禾信仪器,2973498303.0,2021-09-13
688227,品高股份,3471927495.0,2021-12-30
601956,东贝集团,3678177741.0,2020-12-25
688070,纵横股份,4043568600.0,2021-02-10
603280,南方路机,2788219475.0,2022-11-08
603173,福斯达,4088000000.0,2023-01-30
603773,沃格光电,3742050849.0,2018-04-17
688426,康为世纪,4053285650.0,2022-10-25
688216,气派科技,3282680300.0,2021-06-23
688786,悦安新材,4145587616.0,2021-08-26
605389,长龄液压,3934021361.0,2021-03-22
688132,邦彦技术,4202937882.0,2022-09-23
688628,优利德,4439044800.0,2021-02-01
688669,聚石化学,2338000017.0,2021-01-25
688418,震有科技,3328155900.0,2020-07-22
688323,瑞华泰,4611600000.0,2021-04-28
603051,鹿山新材,4773266850.0,2022-03-25
688244,永信至诚,3292708914.0,2022-10-19
688285,高铁电气,3352743125.0,2021-10-20
688611,杭州柯林,3199157000.0,2021-04-12
688143,长盈通,4212504287.0,2022-12-12
688350,富淼科技,2690964500.0,2021-01-28
