序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
57,838837,华原股份,0.05,161956122.23,5.7913640031,45.9596,6961181.35,-14.7746667285,-31.8705,2.697401394661,2.02,-0.424250224412,18.7565114808,,2022-09-28
58,300503,昊志机电,0.06,228519782.7,-12.3146609939,15.7708,19369841.36,-44.74,168.1433,4.301722458311,1.48,0.017733761189,41.3160658804,通用设备,2022-09-28
59,833394,民士达,0.13,62327380.32,17.7225450374,14.0765,13272025.62,114.5384957478,82.26,2.954736717264,4.63,0.220719916509,34.6616117011,,2022-09-26
60,688519,南亚新材,0.3,951023321.84,14.3121687554,-8.6717,71003321.08,-7.97,-8.917,12.505846765742,2.42,-0.249189641212,14.5528117904,电子元件,2022-09-26
61,002396,星网锐捷,0.202,2950478580.66,53.7201295569,-32.2895,117813712.08,215.7,79.3607,8.257643333039,2.48,-1.945530246078,34.2029574766,通信设备,2022-09-24
62,870488,国都证券,-0.01,69768000.0,,-86.9228,-34192200.0,,-115.0877,1.745568216123,,-0.177413361921,,,2022-09-21
63,603906,龙蟠科技,0.44,2558240912.15,329.8865299242,47.1765,213023588.58,252.01,36.0142,4.582671864481,10.14,-1.796342316342,26.7291673232,化学制品,2022-09-17
64,835017,中研股份,0.12,50394530.56,,,10753439.33,,,3.311328248302,3.62,0.048815339031,45.6606336329,,2022-09-16
65,600965,福成股份,0.0626,317203099.14,10.1275462246,11.4744,51291032.02,55.57,1920.8283,2.639774595866,2.4,0.053820103838,33.9974900789,农牧饲渔,2022-09-10
66,837341,睿恒数控,0.1362,20121661.74,80.1167539792,-54.3734,4877313.41,14794.8204048065,-48.2575,3.301445440223,4.21,0.119882860615,53.8669805708,,2022-09-09
67,835333,帕克国际,0.07,42218657.17,18.7241218247,-11.4107,11023373.47,-12.0846584077,22.1505,1.546556361739,4.79,0.042560438571,48.9313008626,,2022-09-07
68,002421,达实智能,0.0068,625000561.41,1.2272408927,-23.2215,12993505.44,-75.2,101.7413,1.311639745607,0.51,-0.126792434892,26.7064829739,互联网服务,2022-09-07
69,420079,神州城B3,-0.0021,458937.49,-79.4668986445,100.8336,-3636826.1,-72.16,-100.0767,-2.828765923988,-0.08,-0.001136722256,-445.3629425654,,2022-08-31
70,400107,欧浦3,0.0,10126403.09,-5.3134144288,127.1935,2330263.71,-91.58,-99.5663,-1.872957406912,,-0.018257674905,58.7785483858,,2022-08-31
71,400079,神州城A3,-0.0021,458937.49,-79.4668986445,100.8336,-3636826.1,-72.16,-100.0767,-2.828765923988,-0.08,-0.001136722256,-445.3629425654,,2022-08-31
72,000680,山推股份,0.2425,2338873009.46,-12.1865842562,22.2503,364210721.47,342.05,1014.2147,3.059463768421,7.88,-0.159273849241,13.2997738035,工程机械,2022-08-31
